id,age,vulnerability,location,food,water,shelter,medical,sanitation,psychological,education,security,transport,communication,resource_density,resource_scarcity,aid_received,cluster
1,23,0.31,urban,0.6,0.7,0.8,0.5,0.4,0.3,0.2,0.1,0.9,0.6,1.1,0.4,yes,A
2,28,0.53,rural,0.5,0.6,0.7,0.4,0.3,0.2,0.1,0.9,0.8,0.5,1.0,0.5,no,B
3,33,0.75,camp,0.4,0.5,0.6,0.3,0.2,0.1,0.9,0.8,0.7,0.4,0.9,0.6,yes,A
4,38,0.20,urban,0.3,0.4,0.5,0.2,0.1,0.9,0.8,0.7,0.6,0.3,0.8,0.7,no,B
5,43,0.97,rural,0.2,0.3,0.4,0.1,0.9,0.8,0.7,0.6,0.5,0.2,0.7,0.8,yes,A
6,48,0.41,camp,0.1,0.2,0.3,0.9,0.8,0.7,0.6,0.5,0.4,0.1,0.6,0.9,no,B
7,53,0.63,urban,0.9,0.1,0.2,0.8,0.7,0.6,0.5,0.4,0.3,0.9,0.5,1.0,yes,A
8,58,0.85,rural,0.8,0.9,0.1,0.7,0.6,0.5,0.4,0.3,0.2,0.8,0.4,1.1,no,B
9,63,0.28,camp,0.7,0.8,0.2,0.6,0.5,0.4,0.3,0.2,0.1,0.7,0.3,1.2,yes,A
10,68,0.50,urban,0.6,0.7,0.3,0.5,0.4,0.3,0.2,0.1,0.9,0.6,0.2,1.3,no,B

11,23,0.31,urban,0.6,0.7,0.8,0.5,0.4,0.3,0.2,0.1,0.9,0.6,1.1,0.4,yes,A
12,28,0.53,rural,0.5,0.6,0.7,0.4,0.3,0.2,0.1,0.9,0.8,0.5,1.0,0.5,no,B
13,33,0.75,camp,0.4,0.5,0.6,0.3,0.2,0.1,0.9,0.8,0.7,0.4,0.9,0.6,yes,A
14,38,0.20,urban,0.3,0.4,0.5,0.2,0.1,0.9,0.8,0.7,0.6,0.3,0.8,0.7,no,B
15,43,0.97,rural,0.2,0.3,0.4,0.1,0.9,0.8,0.7,0.6,0.5,0.2,0.7,0.8,yes,A
16,48,0.41,camp,0.1,0.2,0.3,0.9,0.8,0.7,0.6,0.5,0.4,0.1,0.6,0.9,no,B
17,53,0.63,urban,0.9,0.1,0.2,0.8,0.7,0.6,0.5,0.4,0.3,0.9,0.5,1.0,yes,A
18,58,0.85,rural,0.8,0.9,0.1,0.7,0.6,0.5,0.4,0.3,0.2,0.8,0.4,1.1,no,B
19,63,0.28,camp,0.7,0.8,0.2,0.6,0.5,0.4,0.3,0.2,0.1,0.7,0.3,1.2,yes,A
